City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Nanortalik,GL,60.1432,-45.2371,30.6,87,90,16.64,overcast clouds
1,Tasiilaq,GL,65.6145,-37.6368,26.6,46,0,9.22,clear sky
2,Suzaka,JP,36.65,138.3167,30.99,71,94,7.0,light snow
3,Lasa,IT,46.6166,10.7002,39.0,93,90,6.91,light snow
4,Cape Town,ZA,-33.9258,18.4232,66.2,68,0,14.97,clear sky
5,Chokurdakh,RU,70.6333,147.9167,-17.7,88,100,7.94,overcast clouds
6,Hilo,US,19.7297,-155.09,82.4,47,20,14.97,few clouds
7,Punta Arenas,CL,-53.15,-70.9167,69.8,28,0,6.91,clear sky
8,Ushuaia,AR,-54.8,-68.3,55.4,71,20,8.05,few clouds
9,Mataura,NZ,-46.1927,168.8643,71.76,44,100,3.18,overcast clouds
10,Cockburn Town,TC,21.4612,-71.1419,77.0,83,20,6.91,few clouds
11,Port Elizabeth,ZA,-33.918,25.5701,64.99,90,72,1.01,broken clouds
12,Castro,BR,-24.7911,-50.0119,60.62,67,1,6.93,clear sky
13,Chara,RU,56.9064,118.2631,-5.96,81,100,1.68,overcast clouds
14,Barrow,US,71.2906,-156.7887,-25.6,68,1,9.22,clear sky
15,Maxixe,MZ,-23.8597,35.3472,77.88,87,99,6.13,overcast clouds
16,Srednekolymsk,RU,67.45,153.6833,-8.72,82,85,3.74,overcast clouds
17,Georgetown,MY,5.4112,100.3354,80.01,83,20,2.3,few clouds
18,San Policarpo,PH,12.1791,125.5072,79.72,86,100,20.02,overcast clouds
19,Huangzhou,CN,30.45,114.8,46.4,76,100,6.71,mist
20,Mahajanga,MG,-15.7167,46.3167,77.0,94,40,4.61,scattered clouds
21,Rikitea,PF,-23.1203,-134.9692,77.61,71,81,12.53,broken clouds
22,Esperance,AU,-33.8667,121.9,69.8,68,40,17.27,scattered clouds
23,Sioux Lookout,CA,50.1001,-91.917,-14.8,53,1,12.66,snow
24,Puerto Ayora,EC,-0.7393,-90.3518,77.0,96,93,4.0,overcast clouds
25,Tuktoyaktuk,CA,69.4541,-133.0374,-27.4,68,75,17.27,snow
26,Pascagoula,US,30.3658,-88.5561,52.0,66,1,4.61,clear sky
27,Upernavik,GL,72.7868,-56.1549,18.28,79,12,4.36,few clouds
28,Arraial Do Cabo,BR,-22.9661,-42.0278,71.71,86,100,7.65,overcast clouds
29,Port Alfred,ZA,-33.5906,26.891,66.0,96,97,3.0,light rain
30,Hobart,AU,-42.8794,147.3294,62.6,51,75,12.66,broken clouds
31,Albany,US,42.6001,-73.9662,28.0,62,99,3.0,overcast clouds
32,Broome,US,42.2506,-75.833,19.99,73,1,5.75,clear sky
33,Carnarvon,AU,-24.8667,113.6333,77.0,100,7,8.05,clear sky
34,Lebu,CL,-37.6167,-73.65,59.25,92,35,1.3,scattered clouds
35,Clyde River,CA,70.4692,-68.5914,-2.2,84,75,9.22,light snow
36,Ovre Ardal,NO,61.3167,7.8,4.69,70,0,5.32,clear sky
37,Atasu,KZ,48.6814,71.6433,32.36,98,100,27.85,snow
38,Lavrentiya,RU,65.5833,-171.0,-7.96,86,0,7.23,clear sky
39,Codrington,AU,-38.2667,141.9667,59.81,65,100,13.67,overcast clouds
40,Cidreira,BR,-30.1811,-50.2056,70.65,71,0,8.25,clear sky
41,Fort Nelson,CA,58.8053,-122.7002,-14.8,70,75,10.36,light snow
42,Marystown,CA,47.1666,-55.1483,30.22,91,31,24.07,scattered clouds
43,Saldanha,ZA,-33.0117,17.9442,62.6,72,0,13.8,clear sky
44,Mar Del Plata,AR,-38.0023,-57.5575,62.01,94,90,14.97,overcast clouds
45,Thompson,CA,55.7435,-97.8558,-25.6,68,40,17.27,snow
46,Wanning,CN,18.8003,110.3967,69.37,89,57,4.47,broken clouds
47,Hermanus,ZA,-34.4187,19.2345,57.99,88,10,1.59,clear sky
48,Hithadhoo,MV,-0.6,73.0833,81.88,69,34,8.34,scattered clouds
49,Salalah,OM,17.0151,54.0924,71.6,68,75,5.75,broken clouds
50,Busselton,AU,-33.65,115.3333,64.0,99,81,1.99,broken clouds
51,Boca Do Acre,BR,-8.7522,-67.3978,77.25,94,79,2.35,broken clouds
52,Dahuk,IQ,36.8695,42.994,46.9,64,0,2.95,clear sky
53,Pringsewu,ID,-5.3582,104.9744,73.85,93,80,3.0,broken clouds
54,Atuona,PF,-9.8,-139.0333,79.59,74,24,20.65,few clouds
55,Leningradskiy,RU,69.3833,178.4167,-14.75,85,0,8.14,clear sky
56,Ostersund,SE,63.1792,14.6357,15.8,86,90,8.05,overcast clouds
57,Kismayo,SO,-0.3582,42.5454,76.91,80,0,16.4,clear sky
58,Sayansk,RU,54.1088,102.1648,7.47,93,85,2.33,overcast clouds
59,Hambantota,LK,6.1241,81.1185,76.42,81,12,15.21,few clouds
60,La Paz,BO,-16.5,-68.15,53.6,58,75,5.75,broken clouds
61,Yatou,CN,37.15,122.3833,29.05,82,0,14.05,clear sky
62,Bam,IR,29.106,58.357,57.2,35,12,11.1,few clouds
63,Naantali,FI,60.4674,22.0243,19.4,93,20,2.3,few clouds
64,San Patricio,US,28.017,-97.5169,68.0,56,75,14.97,broken clouds
65,Saskylakh,RU,71.9167,114.0833,-36.8,79,32,12.24,scattered clouds
66,Ilulissat,GL,69.2167,-51.1,19.4,49,0,24.16,clear sky
67,Kapaa,US,22.0752,-159.319,73.99,56,1,5.75,clear sky
68,Nantucket,US,41.2835,-70.0995,34.0,100,90,25.32,snow
69,Kiunga,PG,-6.1219,141.2906,81.43,80,100,1.9,overcast clouds
70,Jumla,NP,29.2747,82.1838,34.9,56,0,6.02,clear sky
71,Namatanai,PG,-3.6667,152.4333,85.19,68,96,4.9,light rain
72,Qazanbulaq,AZ,40.6192,46.6519,46.4,61,40,9.22,scattered clouds
73,Nemuro,JP,43.3236,145.575,6.8,85,20,2.3,few clouds
74,Caravelas,BR,-17.7125,-39.2481,76.14,91,100,6.89,overcast clouds
75,Qaanaaq,GL,77.484,-69.3632,14.83,85,76,6.4,broken clouds
76,Vilyuysk,RU,63.7553,121.6247,-20.2,86,99,10.22,overcast clouds
77,Tiksi,RU,71.6872,128.8694,-29.45,86,45,5.55,scattered clouds
78,Ouesso,CG,1.6136,16.0517,73.83,68,93,1.68,overcast clouds
79,Paine,CL,-33.8167,-70.75,75.2,60,0,12.66,clear sky
80,Boden,SE,65.8252,21.6886,15.8,92,75,8.05,broken clouds
81,Labuhan,ID,-6.8844,112.2051,77.65,87,100,8.86,light rain
82,Vila Velha,BR,-20.3297,-40.2925,70.0,94,90,8.7,heavy intensity rain
83,Asau,RO,46.4333,26.4,30.0,73,93,1.97,overcast clouds
84,Geraldton,AU,-28.7667,114.6,71.6,73,75,13.8,broken clouds
85,Maningrida,AU,-12.0667,134.2667,82.31,77,100,10.51,overcast clouds
86,Bethel,US,41.3712,-73.414,28.4,86,40,3.44,scattered clouds
87,Kaitangata,NZ,-46.2817,169.8464,64.99,86,99,7.0,overcast clouds
88,Asfi,MA,32.2994,-9.2372,57.74,73,52,6.93,broken clouds
89,Vardo,NO,70.3705,31.1107,19.4,79,90,18.41,snow
90,Yinchuan,CN,38.4681,106.2731,29.55,80,98,4.29,overcast clouds
91,Gobabis,NA,-22.45,18.9667,66.52,80,11,11.74,few clouds
92,Yellowknife,CA,62.456,-114.3525,-31.0,61,40,8.05,scattered clouds
93,Khromtau,KZ,50.2503,58.4347,-9.67,90,97,19.86,overcast clouds
94,Victoria,HK,22.2855,114.1577,66.0,83,0,1.01,clear sky
95,Te Anau,NZ,-45.4167,167.7167,66.81,57,100,5.32,light rain
96,Ancud,CL,-41.8697,-73.8203,64.56,73,0,0.78,clear sky
97,Nikolskoye,RU,59.7035,30.7861,17.6,86,90,13.42,overcast clouds
98,At-Bashi,KG,41.1702,75.8106,23.22,82,85,2.24,overcast clouds
99,New Norfolk,AU,-42.7826,147.0587,61.0,73,67,1.01,broken clouds
100,Libertador General San Martin,AR,-23.8064,-64.7876,78.06,57,46,3.87,scattered clouds
101,Palmer,US,42.1584,-72.3287,27.0,86,90,5.75,light snow
102,Ardakan,IR,32.31,54.0175,42.8,93,20,4.61,few clouds
103,Grindavik,IS,63.8424,-22.4338,33.8,69,0,13.8,clear sky
104,Mogadishu,SO,2.0371,45.3438,77.54,80,15,22.55,few clouds
105,Pilot Butte,CA,50.4668,-104.4178,-20.2,63,86,8.05,overcast clouds
106,Sao Domingos Do Prata,BR,-19.865,-42.9683,66.34,95,100,3.4,overcast clouds
107,Pisco,PE,-13.7,-76.2167,73.4,78,75,9.22,broken clouds
108,Den Helder,NL,52.9599,4.7593,25.0,80,90,35.68,light snow
109,Boa Vista,BR,2.8197,-60.6733,82.4,69,40,5.75,light rain
110,Puerto Escondido,MX,15.85,-97.0667,84.2,74,20,5.75,few clouds
111,San Rafael,AR,-34.6177,-68.3301,70.74,46,13,17.22,few clouds
112,Touros,BR,-5.1989,-35.4608,80.6,83,20,12.66,few clouds
113,Carutapera,BR,-1.195,-46.02,77.14,91,5,7.14,moderate rain
114,Pevek,RU,69.7008,170.3133,-5.39,83,0,2.19,clear sky
115,Avarua,CK,-21.2078,-159.775,86.0,70,20,12.66,few clouds
116,Bredasdorp,ZA,-34.5322,20.0403,59.0,77,7,4.61,clear sky
117,Banepa,NP,27.6298,85.5214,39.2,93,20,3.44,mist
118,San Nicolas,PH,18.1725,120.5953,73.4,94,75,2.3,broken clouds
119,East London,ZA,-33.0153,27.9116,71.46,82,95,9.73,light rain
120,Teguldet,RU,57.3064,88.1667,14.77,94,84,10.29,broken clouds
121,Sulangan,PH,11.1373,123.7228,79.3,85,100,19.13,overcast clouds
122,Airai,TL,-8.9266,125.4092,66.88,97,100,3.09,overcast clouds
123,Taoudenni,ML,22.6783,-3.9836,59.97,32,0,8.14,clear sky
124,Doka,SD,13.5167,35.7667,62.98,54,0,13.56,clear sky
125,Bastia,FR,42.6667,9.3333,53.01,50,0,4.61,clear sky
126,Luderitz,NA,-26.6481,15.1594,67.17,57,0,28.01,clear sky
127,Livingston,GB,55.9029,-3.5226,33.8,69,0,14.97,clear sky
128,Mackay,AU,-21.15,149.2,86.0,74,75,9.22,broken clouds
129,Rajapur,IN,25.3833,81.15,51.08,55,0,3.15,clear sky
130,Humaita,BR,-7.5061,-63.0208,76.82,91,90,2.59,light rain
131,Richards Bay,ZA,-28.783,32.0377,74.88,93,93,5.14,overcast clouds
132,Vaini,TO,-21.2,-175.2,77.0,100,90,10.36,moderate rain
133,Acapulco,MX,16.8634,-99.8901,82.4,74,1,9.22,clear sky
134,Bluff,NZ,-46.6,168.3333,62.6,65,99,4.63,light rain
135,Bukene,TZ,-4.2333,32.8833,66.54,84,97,2.21,overcast clouds
136,Jamestown,US,42.097,-79.2353,12.99,79,90,12.66,light snow
137,Brae,GB,60.3964,-1.353,32.07,89,94,6.15,overcast clouds
138,Constitucion,CL,-35.3333,-72.4167,59.13,87,2,6.98,clear sky
139,Haimen,CN,23.1935,116.6142,62.6,88,40,4.47,mist
140,San Cristobal,VE,7.7669,-72.225,84.2,51,40,13.8,scattered clouds
141,Ixtapa,MX,20.7,-105.2,73.4,73,1,11.5,clear sky
142,Faanui,PF,-16.4833,-151.75,81.54,76,2,12.28,clear sky
143,Vestmannaeyjar,IS,63.4427,-20.2734,38.41,77,66,25.1,broken clouds
144,Sinazongwe,ZM,-17.2614,27.4618,74.86,85,100,1.5,moderate rain
145,Coquimbo,CL,-29.9533,-71.3436,64.4,68,0,11.5,clear sky
146,Sakakah,SA,29.9697,40.2064,48.2,81,0,3.36,clear sky
147,Kilindoni,TZ,-7.9139,39.6668,82.08,80,89,13.49,overcast clouds
148,Beloha,MG,-25.1667,45.05,74.43,96,15,4.47,few clouds
149,Mareeba,AU,-17.0,145.4333,90.0,74,40,3.44,scattered clouds
150,Gari,RU,59.4307,62.3497,-8.32,91,100,3.33,light snow
151,Chunoyar,RU,57.4467,97.3217,25.34,95,70,7.85,broken clouds
152,Kattivakkam,IN,13.2167,80.3167,69.8,88,100,2.3,mist
153,Mongomo,GQ,1.6274,11.3135,70.66,91,92,3.98,overcast clouds
154,Raudeberg,NO,61.9875,5.1352,23.0,58,0,7.74,clear sky
155,Lagoa,PT,39.05,-27.9833,57.81,77,80,17.29,broken clouds
156,Ascension,US,30.2169,-90.9001,55.4,67,1,3.44,clear sky
157,Japura,ID,-0.3167,102.35,73.65,90,100,1.07,overcast clouds
158,Vostok,RU,46.4856,135.8833,-10.88,90,100,3.94,overcast clouds
159,Alofi,NU,-19.0595,-169.9187,86.0,70,75,10.36,broken clouds
160,Osypenko,UA,46.9136,36.8253,25.9,80,97,9.15,overcast clouds
161,College,US,64.8569,-147.8028,-11.99,77,20,4.61,few clouds
162,Timra,SE,62.487,17.3257,17.6,86,20,9.22,few clouds
163,Ahipara,NZ,-35.1667,173.1667,73.4,56,14,9.17,few clouds
164,Petukhovo,RU,55.0692,67.9019,3.25,94,98,13.76,overcast clouds
165,Porto Santo,PT,33.072,-16.3415,60.8,88,75,17.27,broken clouds
166,Turkistan,KZ,43.0,68.0,47.41,76,100,7.18,overcast clouds
167,Puerto Del Rosario,ES,28.5004,-13.8627,60.8,72,75,8.05,broken clouds
168,Port Moresby,PG,-9.4431,147.1797,78.8,89,75,11.5,broken clouds
169,Chuy,UY,-33.6971,-53.4616,65.55,82,58,8.25,light rain
170,Sorland,NO,67.667,12.6934,35.82,80,61,10.07,broken clouds
171,Hamilton,US,39.1834,-84.5333,19.99,49,57,1.01,broken clouds
172,Kuminskiy,RU,58.6667,66.5667,-3.28,90,100,10.89,overcast clouds
173,Laurel,US,39.0993,-76.8483,36.0,64,1,10.36,clear sky
174,Gornopravdinsk,RU,60.05,69.9,0.95,91,100,12.37,overcast clouds
175,Bathsheba,BB,13.2167,-59.5167,78.8,65,40,17.27,scattered clouds
176,Novo Aripuana,BR,-5.1206,-60.3797,75.97,95,100,1.79,light rain
177,Saint-Philippe,RE,-21.3585,55.7679,80.6,61,90,8.05,light rain
178,Port Hardy,CA,50.6996,-127.4199,39.2,70,75,10.36,broken clouds
179,Gao,ML,16.6362,1.637,73.11,20,65,8.48,broken clouds
180,Matara,LK,5.9485,80.5353,74.16,90,23,4.63,few clouds
181,Husavik,IS,66.0449,-17.3389,32.0,74,90,5.75,overcast clouds
182,Flin Flon,CA,54.7682,-101.865,-25.6,56,1,12.66,snow
183,Poso,ID,-1.3959,120.7524,82.0,78,38,2.57,scattered clouds
184,Jiuquan,CN,39.7432,98.5174,26.06,75,84,2.62,broken clouds
185,Yokaichi,JP,35.1139,136.2037,43.0,74,31,1.01,scattered clouds
186,Coahuayana,MX,18.7333,-103.6833,73.4,78,20,5.14,few clouds
187,Bambous Virieux,MU,-20.3428,57.7575,78.8,83,40,5.75,light rain
188,Bubaque,GW,11.2833,-15.8333,78.57,69,38,7.43,scattered clouds
189,Bandarbeyla,SO,9.4942,50.8122,74.71,82,29,16.93,scattered clouds
190,Dikson,RU,73.5069,80.5464,-32.1,85,68,14.99,broken clouds
191,Panambi,BR,-28.2925,-53.5017,66.11,74,0,5.75,clear sky
192,Sinnamary,GF,5.3833,-52.95,78.03,83,100,13.85,overcast clouds
193,Maldonado,UY,-34.6667,-54.9167,72.0,78,75,18.41,broken clouds
194,Severo-Kurilsk,RU,50.6789,156.125,21.67,88,94,9.4,overcast clouds
195,Cayenne,GF,4.9333,-52.3333,80.6,83,75,11.5,broken clouds
196,Ransang,PH,8.9603,117.5828,80.38,79,100,9.48,overcast clouds
197,Miri,MY,4.4148,114.0089,77.0,100,40,2.3,scattered clouds
198,Inongo,CD,-1.95,18.2667,75.04,83,100,3.98,overcast clouds
199,Kingman,US,35.1894,-114.053,68.0,10,1,4.72,clear sky
200,Batemans Bay,AU,-35.7167,150.1833,71.01,59,22,1.99,few clouds
201,Polyarnyy,RU,69.1989,33.4478,19.4,79,75,8.95,light snow
202,Vincennes,FR,48.85,2.4333,33.01,80,90,5.75,overcast clouds
203,Saint-Georges,GD,12.0564,-61.7485,78.8,78,40,17.27,scattered clouds
204,Ust-Ilimsk,RU,58.0006,102.6619,20.89,96,93,7.92,overcast clouds
205,Bengkulu,ID,-3.8004,102.2655,75.85,79,93,5.5,overcast clouds
206,Kamenka,RU,51.3223,42.7678,-8.07,91,12,9.01,few clouds
207,Voh,NC,-20.9667,164.7,84.29,63,37,5.61,scattered clouds
208,Zhezkazgan,KZ,47.8043,67.7144,33.98,98,100,28.54,moderate rain
209,Lata,PT,40.1629,-8.3327,55.0,94,98,10.0,overcast clouds
210,Nicoya,CR,10.1483,-85.452,84.2,54,0,18.41,clear sky
211,Nehe,CN,48.4833,124.8333,-8.75,86,0,3.31,clear sky
212,Qasigiannguit,GL,68.8193,-51.1922,19.4,45,0,14.97,clear sky
213,Port-Gentil,GA,-0.7193,8.7815,77.0,94,20,3.44,few clouds
214,Prince Rupert,CA,54.3161,-130.3201,33.8,51,1,20.71,clear sky
215,Burnie,AU,-41.0667,145.9167,66.0,85,89,5.01,overcast clouds
216,Port Blair,IN,11.6667,92.75,76.95,81,12,12.44,few clouds
217,Butaritari,KI,3.0707,172.7902,81.05,80,90,19.35,overcast clouds
218,Havre-Saint-Pierre,CA,50.2334,-63.5986,19.4,79,1,11.5,clear sky
219,Alyangula,AU,-13.8483,136.4192,82.4,78,75,10.36,broken clouds
220,Okhotsk,RU,59.3833,143.3,16.02,89,100,19.66,overcast clouds
221,Norman Wells,CA,65.282,-126.8329,-23.8,76,40,3.44,scattered clouds
222,Tapes,BR,-30.6733,-51.3958,69.53,75,0,8.79,clear sky
223,Hualmay,PE,-11.0964,-77.6139,72.32,75,99,11.3,overcast clouds
224,Provideniya,RU,64.3833,-173.3,-0.54,83,74,17.72,broken clouds
225,Muriwai Beach,NZ,-36.8167,174.45,75.2,53,75,11.5,broken clouds
226,Torbay,CA,47.6666,-52.7314,30.0,69,20,33.38,few clouds
227,Eirunepe,BR,-6.6603,-69.8736,76.75,94,71,2.84,broken clouds
228,Tortoli,IT,39.9256,9.6572,53.6,66,0,8.05,clear sky
229,Nakambala,ZM,-15.8324,27.7799,66.11,96,100,3.53,overcast clouds
230,Oranjemund,NA,-28.55,16.4333,62.33,78,0,19.48,clear sky
231,Klamath Falls,US,42.2249,-121.7817,53.6,16,1,17.27,clear sky
232,Kortkeros,RU,61.8106,51.5806,-18.4,76,90,8.95,light snow
233,George,ZA,-33.963,22.4617,62.6,88,75,5.75,broken clouds
234,Inhambane,MZ,-23.865,35.3833,78.8,85,99,7.29,overcast clouds
235,Fernie,CA,49.5,-115.0687,8.6,47,100,3.44,overcast clouds
236,Kahului,US,20.8947,-156.47,78.8,53,40,12.66,scattered clouds
237,Vila Franca Do Campo,PT,37.7167,-25.4333,57.0,82,20,8.05,few clouds
238,Chapais,CA,49.7834,-74.8492,12.2,85,90,6.91,overcast clouds
239,Magadan,RU,59.5667,150.8,13.93,85,95,21.25,overcast clouds
